code,course name,EOS_2021,Mid_2021,test_2021,EOS_2020,Mid_2020,test_2020,EOS_2019,Mid_2019,test_2019
DB567,Film and Creative Media,213.0,298.0,no,202.0,290.0,no,192.0,295.0,no
DB568,Law,228.0,347.0,no,217.0,309.0,no,245.0,308.0,no
DB569,Business (Psychology),240.0,338.0,no,252.0,284.0,no,279.0,338.0,no
DC001,Education - Early Childhood Education,445.0,474.0,no,440.0,462.0,no,398.0,424.0,no
DC002,Education - Primary Teaching,518.0,543.0,no,488.0,520.0,no,462.0,485.0,no
DC003,Education - Primary Teaching - Gaeltacht Applicants,496.0,509.0,yes,445.0,462.0,yes,433.0,473.0,yes
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),451.0,0.0,yes,409.0,463.0,yes,357.0,0.0,yes
DC009,Arts (Joint Honours) - Humanities,356.0,431.0,no,376.0,423.0,no,347.0,408.0,no
DC010,Post Primary Teacher Education - Religious Education and English,384.0,441.0,no,429.0,465.0,no,386.0,413.0,no
DC011,Post Primary Teacher Education - Religious Education and History,409.0,455.0,no,391.0,429.0,no,352.0,389.0,no
DC012,Post Primary Teacher Education - Religious Education and Music,409.0,451.0,yes,378.0,420.0,yes,367.0,415.0,yes
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,413.0,510.0,no,419.0,487.0,no,410.0,509.0,no
DC014,BA in Jazz and Contemporary Music Performance (audition),311.0,634.0,yes,419.0,605.0,yes,428.0,590.0,yes
DC110,Business Studies International,498.0,526.0,yes,465.0,488.0,no,440.0,462.0,no
DC111,Business Studies,511.0,532.0,no,488.0,507.0,no,463.0,479.0,no
DC112,Global Business (France),542.0,564.0,no,510.0,532.0,no,495.0,510.0,no
DC113,Global Business (Germany),484.0,529.0,no,462.0,496.0,no,440.0,476.0,no
DC114,Global Business (Spain),544.0,562.0,no,522.0,545.0,no,501.0,543.0,no
DC115,Accounting and Finance,544.0,578.0,no,510.0,544.0,no,487.0,500.0,no
DC116,Global Business (USA),613.0,625.0,no,579.0,601.0,no,578.0,589.0,no
DC117,Aviation Management / Aviation Management with Pilot Studies,484.0,520.0,no,475.0,500.0,no,463.0,487.0,no
DC118,Gnó agus Gaeilge / Business and Irish,368.0,419.0,no,359.0,429.0,no,357.0,399.0,no
DC119,Global Business (Canada),601.0,601.0,no,564.0,577.0,no,566.0,577.0,no
DC120,Computing for Business,402.0,440.0,no,357.0,392.0,no,350.0,389.0,no
DC121,Computer Science,476.0,498.0,no,400.0,455.0,no,370.0,418.0,no
DC123,Data Science,501.0,542.0,no,465.0,531.0,no,467.0,511.0,no
DC126,Actuarial Mathematics,577.0,601.0,no,560.0,578.0,no,520.0,543.0,no
DC127,Common Entry into Actuarial and Financial Mathematics,541.0,566.0,no,520.0,543.0,no,509.0,531.0,no
